Timestamp,Signal_Strength,Decision
02:03:45,0.0297,WARNING
02:03:46,0.0303,WARNING
02:03:47,0.0778,DANGER
02:03:48,0.0394,WARNING
02:03:49,0.0080,SAFE
02:03:50,0.0399,WARNING
02:03:51,0.0352,WARNING
02:03:52,0.0199,SAFE
02:03:53,0.0456,WARNING
02:03:54,0.0279,WARNING
02:03:55,0.0711,DANGER
02:03:56,0.0422,WARNING
02:03:57,0.0281,WARNING
02:03:58,0.0507,WARNING
02:03:59,0.0668,DANGER
02:04:00,0.0669,DANGER
02:04:01,0.0091,SAFE
02:04:02,0.0626,DANGER
02:04:03,0.0644,DANGER
02:04:04,0.0611,DANGER
02:04:05,0.0535,WARNING
02:04:06,0.0795,DANGER
02:04:07,0.0403,WARNING
02:04:08,0.0009,SAFE
02:04:09,0.0631,DANGER
02:04:10,0.0320,WARNING
02:04:11,0.0010,SAFE
02:04:12,0.0747,DANGER
02:04:13,0.0485,WARNING
02:04:14,0.0576,WARNING
02:04:15,0.0286,WARNING
02:04:16,0.0253,WARNING
02:04:17,0.0031,SAFE
02:04:18,0.0497,WARNING
02:04:19,0.0580,WARNING
02:04:20,0.0651,DANGER
02:04:21,0.0006,SAFE
02:04:22,0.0486,WARNING
02:04:23,0.0201,WARNING
02:04:24,0.0068,SAFE
02:04:25,0.0587,WARNING
02:04:26,0.0584,WARNING
02:04:27,0.0306,WARNING
02:04:28,0.0226,WARNING
02:04:29,0.0781,DANGER
02:04:30,0.0312,WARNING
02:04:31,0.0358,WARNING
